Time,lowAlpha,highAlpha,lowBeta,highBeta
752.946700096,15358,11316,15432,16852
753.958010912,1911,3556,1744,1963
754.957997084,878,3021,950,1166
755.93698597,1214,1683,4742,2958
756.948224068,3567,3009,2272,633
757.948402882,18621,8379,14586,6292
758.925143957,479,4221,3378,1848
759.93898797,19949,17643,23920,4426
760.940228939,473,2275,3395,675
761.920365095,833,390,2361,2245
762.922730923,1620,3041,3630,2085
763.925149918,1127,543,1354,1224
764.904303074,2623,2894,2157,766
765.915190935,31718,14249,10637,7372
766.919250965,4456,1064,5872,1449
767.894124031,5015,3764,2308,1174
768.886661053,1210,670,5164,1145
769.903081894,773,456,646,1416
770.916646957,2473,1412,2226,1400
771.867920876,1738,3082,3728,13258
772.89302206,768,995,1349,819
773.886753082,15428,15260,2802,8025
774.859580994,3977,1420,2737,1175
775.881651878,1714,3630,972,1736
776.867925882,4761,8581,5269,1365
777.859630108,19242,7463,15361,11213
778.871532917,371,581,1953,1557
779.861922026,880,644,438,1323
780.839585066,4558,1660,3843,1719
781.859061003,10142,9427,6120,3274
782.846884012,4759,6078,6224,1648
783.834259033,1152,2602,1850,990
784.854168892,3306,2308,2471,697
785.835287094,1892,4333,1108,3133
786.821718931,1976,4466,4184,1991
787.84317708,7138,14649,11079,7325
788.825362921,89080,7414,16781,12192
789.814174891,29347,55616,18195,23501
790.831012011,21215,21297,10897,12210
791.81091404,5895,2308,7046,8007
792.803006887,1640,111,2739,1662
793.780790091,1447,1966,1710,3622
794.809443951,8118,16557,6178,11301
795.783324003,2561,4721,1452,5601
796.772047043,1717,1756,1465,2005
797.795672894,2426,5240,3069,4354
798.781991959,16048,7119,8380,5735
799.761837006,5633,7366,18044,8852
800.78193593,1384,7342,673,2015
801.768043041,2767,2362,2020,2516
802.749595881,1895,2662,1864,3603
803.771735907,1064,1473,3229,3049
804.753311872,2271,1535,1356,919
805.74435997,1376,994,1743,2333
806.766797066,730,2585,3898,2115
807.750761986,533,2122,17900,8691
808.725832939,66635,18441,17282,7438
809.755706072,14759,7728,4396,5538
810.735574007,1568,2530,2778,4799
811.724556923,1281,674,6227,6977
812.744602919,12301,72529,32001,16127
813.729506969,868,600,3510,4428
814.705688,6201,1381,1952,2550
815.734507084,3679,2596,2111,2854
816.719402075,708,944,1570,4011
817.695897102,33297,16548,22907,6911
818.702538967,2147,1616,2176,3863
819.708287001,37253,32789,10312,7019
820.685975075,1833,2887,3819,2590
821.692125082,3467,1354,1573,1916
822.693152905,1818,3421,5349,5615
823.681464911,1087,11532,15949,22435
824.685904026,4225,2091,6138,4911
825.686889887,3099,1805,4408,2621
826.671927929,1714,8514,2211,1535
827.673435926,29708,5644,7560,11913
828.678189993,2443,1763,2732,4309
829.657058954,893,1284,3308,1881
830.66356492,109,1715,2449,1969
831.662327051,6384,1457,2557,3493
832.642204046,3554,1716,4004,3355
833.653307915,6023,6961,14940,7041
834.649456024,631,3856,2021,4304
835.639448881,3813,268,4147,3118
836.642002106,4136,6128,8385,11914
837.644576073,1690,1555,2675,1171
838.622432947,8954,24936,114765,14108
839.632061005,37629,10010,25620,13369
840.634562016,14824,14024,14701,8459
841.615833998,1181,4808,3387,5025
842.614576101,7730,2342,6849,6191
843.59868288,4384,1274,4536,4485
844.607130051,3102,15818,19570,11614
845.609585047,17193,3754,6680,2278
846.593497992,1416,3491,4751,10213
847.597121954,44277,16666,5481,11384
848.593400002,47150,19786,5110,21738
849.578451872,6482,5242,2905,3271
850.584785938,1446,5629,3481,2034
851.592235088,1393,10236,6287,3710
